Name,Label
Prospero Bonarelli,author
Fulvio Genga,author
Pietro Metastasio,author
Nicolò Minato,author
Scipione di Manzano,author
Antonio Decio,author
Nicolò Minato,author
nan,author
Antonio Salvi,author
Alfonso Cavazzi,author
Alberto Lollio,author
Marcello Macedonio,author
Gian Matteo Giannini,author
Pier Jacopo Martello,author
Luigi Groto,author
Nicolò Minato,author
Pietro Metastasio,author
Giovanni Camillo Canzachi,author
Carlo Maria Maggi,author
Tranquillo Ambrosini,author
Donato Cupeda,author
Bernardino Pino da Cagli,author
Alfonso Romei,author
Ettore Nini,author
Antonio Zaniboni,author
unknown,author
Luisa Bergalli,author
Girolamo Bartolommei,author
Carlo Turco,author
Giovanni Angelo Lottini,author
unknown,author
unknown,author
unknown,author
Vincenzo Grimani,author
Girolamo Giustiniani,author
unknown,author
Bernardino Campello,author
Giuseppe Maria Buini,author
Antonio Ongaro,author
Prospero Bonarelli,author
Donato Cupeda,author
Pier Jacopo Martello,author
Euripides,author
unknown,author
Antonio Marchi,author
Antonio Draghi,author
Ansaldo Cebà,author
Claudio Nicolà Stampa,author
Grazio Braccioli,author
unknown,author
Girolamo Frigimelica,author
Francesco Sbarra,author
Apostolo Zeno,author
Jean Racine,author
unknown,author
Prospero Bonarelli,author
Gian Matteo Giannini,author
Giulio Pancieri,author
Agostino Dolce,author
Giulio Pancieri,author
Cortese Cortesi,author
Bongianni Gratarolo,author
Niccolò Carbone,author
Francesco Andreini,author
Antonio Francesco Raineri,author
Antonio Buzzacarini,author
Guidubaldo Benamati,author
Apostolo Zeno,author
unknown,author
Francesco Silvani,author
Carlo Alessandro Guidi,author
unknown,author
Vincenzo Gramigna,author
Raffaello Borghini,author
unknown,author
Molière,author
Giovanni Pietro Candi,author
Giambattista Neri,author
Giovanni Villifranchi,author
Baldassarre Bonifacio,author
Bartolomeo Tortoletti,author
Francesco Maria Piccioli,author
Apostolo Zeno,author
Luigi Manzini,author
Giovanni Andrea Moniglia,author
Agostino Dolce,author
Cesare Cremonini,author
Alessandro Piccolomini,author
Ubaldino Malavolti,author
Apostolo Zeno,author
Carlo Sigismondo Capece,author
Giovanni Andrea Moniglia,author
Domenico Lalli,author
unknown,author
Francesco Passarini,author
Apostolo Zeno,author
Silvio Fiorillo,author
Giambattista Neri,author
Carlo Torre,author
unknown,author
Molière,author
Giacinto Andrea Cicognini,author
Jacopo Cicognini,author
Giuliano Gosellini,author
Francesco Sbarra,author
Michelangelo Boccardi,author
Nicolò Minato,author
Domenico Gisberti,author
unknown,author
Carlo Celano,author
Gabriello Chiabrera,author
Girolamo Preti,author
unknown,author
Giuseppe Berneri,author
unknown,author
Giovan Battista Fagiuoli,author
Giovan Battista Fagiuoli,author
Giovan Battista Fagiuoli,author
Pietro Antonio Bernardoni,author
Antonio Fineschi da Radda,author
Donato Cupeda,author
Giacinto Andrea Cicognini,author
Giovanni Cosimo Villifranchi,author
Francesco Sbarra,author
Aurelio Amalteo,author
unknown,author
unknown,author
Angelita Scaramuccia,author
Francesco Silvani,author
Andrea Barbazza,author
Valeria Miani,author
Francesco Bracciolini,author
Pietro Susini,author
Antonio Zaniboni,author
Angelo Beolco,author
Fabio Glissenti,author
unknown,author
Alfonso Cavazzi,author
unknown,author
Apostolo Zeno,author
Pietro Antonio Bernardoni,author
Giovanni Vincenzo Gravina,author
Fabio Glissenti,author
Pandolfo Collenuccio,author
Apostolo Zeno,author
Nicolò di Castelli,author
Nicola Giuseppe Prescimone,author
Fabrizio de Fornaris,author
Vincenzo Brusantini,author
unknown,author
Pietro Pariati,author
unknown,author
unknown,author
Alessandro Guidotti,author
Giovanni Francesco Savaro,author
Antonio Maria Lucchini,author
Benedetto Pasqualigo,author
Giovanni Battista Leoni,author
Apostolo Zeno,author
Pietro Paolo Bissari,author
Prospero Bonarelli,author
unknown,author
unknown,author
Giovanni Vincenzo Gravina,author
Ottavio Tronsarelli,author
unknown,author
Benedetto Marcello,author
unknown,author
Pietro Pariati,author
Carlo Celano,author
Lodovico Bartolaia,author
Carlo Celano,author
Luigi Giusti,author
