name,qid,gender
Prospero Bonarelli,Q3407825,male
Giovanni Boldini,,
Bartolommeo Cappello,,
Carlo Giuseppe Cornacchia,,
Silvio Stampiglia,Q1375676,male
Bastiano Biancardi,,
Michele Brugueres,Q33176667,male
Domenico Vecchi,Q17142431,male
Giuseppe Gennaro,,
Giuseppe Gangezia,,
Feo Belcari,Q3068447,male
Mario Mazza,,
Bartolomeo e Pietro Rositini,,
Fulvio Genga,Q102712421,male
Alessandro Manerba,Q109503956,male
Bartolommeo Tacchello,,
Giorgio Ippolito Giorgi,,
Urbano Rizzi,,
Ippolito Bentivoglio,Q24205954,male
Pietro Metastasio,Q29473,male
Nicolò Minato,Q1987241,male
Giannicola Montanari,,
Scipione di Manzano,Q36834676,male
Giuseppe Cafora,,
Anselmo Marconi,,
Antonio Decio,Q42941837,male
Marzio Bartolini,,
Baldassarre Pisani,Q3633259,male
Giambattista Andreini,Q1134183,male
Serafino della Salandra,Q28793950,male
nan,Q929804,
Pietro Dolfin,Q55946467,male
Antonio Salvi,Q604920,male
Giovanni Battista Rodoteo,Q76446342,male
Alfonso Cavazzi,Q109838273,male
Alberto Lollio,Q44814629,male
Giovanni Fabrini,Q3767184,male
Cristoforo Rosario,,
Niccolò Forteguerri,Q3339581,male
Melchiorre Zoppio,Q3304995,male
Antonio Maria Lucchini,Q328132,male
Vincenzo Renieri,,
Marcello Macedonio,Q30137259,male
Paolo Vendramino,,
Gian Matteo Giannini,Q102287216,male
Alessandro Adimari,Q3609797,male
Antonio Abati,Q599437,male
Giuseppe Tristaino,,
L. B.,,
Pier Jacopo Martello,Q3902896,male
Luigi Groto,Q1876177,male
Giuseppe Squillacci,,
Giovanni Camillo Canzachi,Q5563792,male
Nicolò Corradini,Q1365580,male
Luisa Bergalli,Q1433799,female
Carlo Maria Maggi,Q1150131,male
Tranquillo Ambrosini,Q125676554,male
Tommaso Buoni,Q56648069,male
Donato Cupeda,Q98636911,male
Bernardino Pino da Cagli,Q3638727,male
Alfonso Romei,Q125692261,male
Bartolomeo Lucchini,,
Adriano Valerini,Q4685603,male
Giulio Cammillo Cavallini,,
Ettore Nini,Q101094734,male
Lodovico Dolce,Q1867806,male
Giorgio Roppacini,,
Antonio Zaniboni,Q605793,male
Gregorio Malisardi,,
Carlo Mancini di Catania,,
Luigi Ficieni,,
Ortensio Scamacca,,
Lionardo Omodei,,
Bernardino Turamini,,
Michelangelo Fantini,,
Girolamo Chisella,,
Pierre Corneille,Q747,male
Girolamo Bartolommei,Q109876959,male
Carlo Turco,Q3659919,male
Giovanni Angelo Lottini,Q56006600,male
Carlo Mancini,,
Giulio Cesare Becelli,Q3769557,male
Cherubino Bello,,
Vagnozzo Pica,,
Aurelio Amigazzi,,
Giacomo Donati,,
Benedetto Cinquanta,Q88943896,male
Ascanio Cacciaconti,Q111473416,male
Francesco Cirocchi,,
Giuseppe Mozzagrugno,,
Leone Alberici,,
Paolino Fiamma,,
Francesco Manzani,Q119854276,male
Vincenzo Grimani,Q1247746,male
Giuseppe Contri,,
Carlo Marchesini,,
Girolamo Giustiniani,Q94879879,male
Bartolommeo Groppi,,
Bernardino Campello,Q33125431,male
Ivo Gattula,,
Francesco Morabito,,
Giulio Cesare Corradi,Q328154,male
Lodovico Casale,,
Giuseppe Maria Buini,Q16571741,male
Antonio Ongaro,Q3619968,male
Giulio Salinero,Q61398186,male
