city-name,counts,Latitude,Longitude,Reverse_Check
Ancona,24,43.4801189,13.2187279,
Anspach,1,50.2916788,8.5068776,
Arezzo,16,43.5171442,11.7639282,
Ascoli Piceno,3,42.8834204,13.539593,
Assisi,1,43.0711952,12.6146669,
Bari,2,41.1257843,16.8620293,
Bassano del Grappa,5,45.7669109,11.7343469,
Belluno,13,46.2805407,12.0789137,
Benevento,3,41.2476307,14.7057054,
Bergamo,11,45.7566557,9.7542192,
Bologna,518,44.4938203,11.3426327,
Bracciano,11,42.1010951,12.1738573,
Brescia,31,45.7795805,10.425873,
Cagliari,1,39.2171994,9.113311,
Camerino,2,43.1357641,13.0683092,
Caprarola,1,42.326625,12.235766,
Carmagnola,3,44.8455856,7.7192711,
Carpi,2,44.7835699,10.8854523,
Catania,14,37.5023612,15.0873718,
Ceneda,1,35.3544054,-117.8972896,
Cesena,6,44.136352,12.2422442,
Chieti,1,42.1026929,14.4159053,
Città di Castello,1,43.4574214,12.2403118,
City of Brussels,1,-37.8092631,144.9709607,
Codogno,2,45.1600664,9.70437,
Cologne,4,50.938361,6.959974,
Como,1,45.9394759,9.1494101,
Conegliano,2,45.8862172,12.2977566,
Cortona,1,43.2752976,11.9850623,
Cosenza,5,39.5966853,16.3330556,
Crema,1,45.362828,9.6874573,
Cremona,17,45.2208641,10.037038,
Cuneo,1,44.4580704,7.5581367,
Dresden,2,51.0493286,13.7381437,
Este,1,45.2240069,11.659796,
Fabriano,1,43.3358407,12.9046187,
Faenza,4,44.2855555,11.8832055,
Fano,4,43.8424173,13.0146632,
Fermo,5,43.0922489,13.6387681,
Ferrara,94,44.7667642,11.827939,
Florence,394,43.7697955,11.2556404,
Foggia,1,41.5028106,15.4528939,
Foligno,11,42.9559744,12.7034782,
Forlì,1,44.2227278,12.041273,
Fossombrone,1,43.6907965,12.8126121,
Frankfurt,1,50.1106444,8.6820917,
Genoa,43,44.40726,8.9338624,
Guastalla,2,44.9211516,10.6539985,
Gubbio,3,43.3517605,12.5772959,
Imola,1,44.3535145,11.7141233,
Innsbruck,5,47.2654296,11.3927685,
Koper,1,45.5479864,13.7304781,
L'Aquila,4,42.1368853,13.610341,
Lecce,3,40.1522173,18.2260628,
Leipzig,30,51.3406321,12.3747329,
Libertapoli,1,,,
Lintz,1,54.9007044,-1.7442512,
Livorno,5,42.7902379,10.3402239,
Lodi,4,45.2613104,9.4916781,
London,4,51.5074456,-0.1277653,
Lucca,34,44.0177639,10.45443,
Lugano,1,46.0050102,8.9520281,
Lyon,1,45.7578137,4.8320114,
Macerata,52,43.1529781,13.1508822,
Madrid,1,40.416782,-3.703507,
Mantua,60,45.1692628,10.6708365,
Massa,2,44.0359323,10.1395519,
Messina,27,38.1937571,15.5542082,
Milan,168,45.4641943,9.1896346,
Modena,55,44.5384728,10.9359609,
Monaco,15,43.7323492,7.4276832,
Mondovì,1,44.3900282,7.8204718,
Monteleone,1,40.4716215,8.5602991,
Murano,1,45.4584604,12.352971,
Naples,367,40.8358846,14.2487679,
Orvieto,18,42.7186152,12.1087907,
Osimo,1,43.4861359,13.4824068,
Padua,94,45.4077172,11.8734455,
Palermo,213,38.1112268,13.3524434,
Paris,12,48.8588897,2.320041,
Parma,52,44.6952006,10.0979869,
Pavia,11,45.0368547,9.1378251,
Perugia,40,43.1070321,12.4029962,
Pesaro,9,43.9098114,12.9131228,
Piacenza,13,44.8476352,9.6665313,
Piazzola sul Brenta,12,45.541496,11.784404,
Pisa,13,43.4714722,10.6797912,
Pistoia,2,43.9740957,10.8687081,
Praga,2,50.0874654,14.4212535,
Pratolino,6,43.8619104,11.3009351,
Ravenna,3,44.3640607,12.0590095,
Recanati,1,43.4035085,13.5486016,
Regensburg,1,49.0195333,12.0974869,
Reggio Emilia,15,44.6086674,10.5940667,
Rimini,5,43.9465433,12.630749,
Rome,369,41.8933203,12.4829321,
Ronciglione,41,42.2902415,12.2138064,
Roveredo,2,45.886548,11.0452369,
Rovigo,5,44.9777098,12.2726835,
Salzburg,1,47.7981346,13.0464806,
San Giovanni in Persiceto,2,44.6386593,11.1874019,
Scandiano,1,44.5993449,10.6878385,
Serravalle,8,43.9699026,12.4802946,
Serravalle Scrivia,2,44.7255798,8.8547001,
Sicily,1,37.587794,14.155048,
Siena,206,43.167206,11.467561,
Spoleto,5,42.7342971,12.7382035,
Terni,15,42.6539486,12.4396528,
Todi,9,42.7824434,12.4062554,
Tortona,1,44.89666,8.8641282,
Trani,7,41.275088,16.4162585,
Trapani,6,38.0173961,12.5160225,
Trento,2,46.0664228,11.1257601,
Treviso,26,45.8066913,12.2063158,
Turin,32,45.0677551,7.6824892,
Udine,14,46.0634632,13.2358377,
Urbino,13,43.7262608,12.6363135,
Velletri,3,41.6867015,12.7770433,
Venice,1927,45.4371908,12.3345898,
Vercelli,1,45.5553827,8.3462837,
Verona,75,45.4424977,10.9857377,
Vicenza,56,45.6348591,11.4063543,
Vienna,249,48.2083537,16.3725042,
Vilnius,1,54.6870458,25.2829111,
Viterbo,96,42.4929522,11.9488136,
Warsaw,1,52.2333742,21.0711489,
