voce/entry,titolo/title,sottitolo/subtitle,autore/author,genere/genre,metro/mode,luogo di pubblicazione/city,luogo di rappresentazione/location,editore/publisher,anno/year,formato/format,libretto,compositore/composer,traduzione/translation
"ABBAGLI FELICI. Commedia (in prosa). — In Macerata, per Agostino Grisei. 1642 in 12. — del Co. Prospero Bonarelli della Rovere, d'Ancona.",Abbagli Felici,,"<a href=""https://www.wikidata.org/wiki/Q3407825"">Prospero Bonarelli</a>",commedia,prose,"<a href=""https://www.wikidata.org/wiki/Q13135"">Macerata</a>",,"<a href=""https://www.wikidata.org/wiki/Q118733443"">Agostino Grisei I</a>",1642,12,False,,False
"ABBANDONO D'ARMIDA. Trattenimento scenico cantato nel Teatro Grimani di San Gian—Grisostomo di Ven. nell'ultima sera del Carnevale dell'anno 1729. dedicato alle Eccellentissime Dame Veneziane. — in Venezia, appresso Carlo Buonarrigo. 1729 in 12. — Poesia di Giovanni Boldini, Veneziano. — Musica di diversi.",Abbandono d'Armida,,Giovanni Boldini,trattenimento scenico,verse,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>","<a href=""https://www.wikidata.org/wiki/Q3982047"">Teatro Malibran</a>",Carlo Buonarrigo,1729,12,True,,False
"ABBATE. Commedia (in prosa). — in Venez. appresso Agostino Bindoni. 1556 in 8 — di Bartolommeo Cappello, di Olcenengo.",Abbate,,Bartolommeo Cappello,commedia,prose,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,"<a href=""https://www.wikidata.org/wiki/Q109836239"">Agostino Bindoni</a>",1556,8,False,,False
ABBISAI. Op. (in prosa). — in Milano per il Malatesta. 1718 in 12. — di Carlo Giuseppe Cornacchia.,Abbisai,,Carlo Giuseppe Cornacchia,opera,prose,"<a href=""https://www.wikidata.org/wiki/Q490"">Milan</a>",,Malatesta,1718,12,False,,False
"ABDOLOMINO. Dramma rappresentato alle Sac. Ces. R. M. nel Carnevale dell'anno 1709 — in Vienna, appr. gli Eredi Cosmeroviani. 1709. in 8 — Poesia di Silvio Stampiglia, Romano. — Musica di Giovanni Bononcini, Bolognese.",Abdolomino,,"<a href=""https://www.wikidata.org/wiki/Q1375676"">Silvio Stampiglia</a>",dramma,,"<a href=""https://www.wikidata.org/wiki/Q1741"">Vienna</a>",,Eredi Cosmeroviani,1709,8,True,"<a href=""https://www.wikidata.org/wiki/Q315241"">Giovanni Bononcini</a>",False
"ABEL. Orazione Sacra per Musica (divisa in due parti in forma d'Oratorio). — in Venezia (senza nome di Stampatore). 1738 in 8 — Poesia di Bastiano Biancardi Napoletano, detto Domenico Lalli.",Abel,,Bastiano Biancardi,orazione sacra,,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,unknown,1738,8,True,,False
"ABEL, E CAINO. Rappresentazione di Abel, e di Caino (in ottava rima) nuovamente venuta in luce, in Firenze l'anno 1554. del Mese di Febbraio. in 4. — Poesia d'Incerto Autore.","Abel, E Caino",,"<a href=""https://www.wikidata.org/wiki/Q24238356"">unknown</a>",rappresentazione,verse,"<a href=""https://www.wikidata.org/wiki/Q2044"">Florence</a>",,unknown,1554,4,False,,False
"ABELE UCCISO DA CAINO. Oratorio. — in Mantova, per gli Osanna, 1687. in 8 — Poesia d'Autore incerto.",Abele Ucciso Da Caino,,"<a href=""https://www.wikidata.org/wiki/Q24238356"">unknown</a>",oratorio,,"<a href=""https://www.wikidata.org/wiki/Q6247"">Mantua</a>",,Osanna,1687,8,False,,False
"ABIGAILLE. Poema drammatico fatto rappresentare in Città della Pieve per la venuta in detta Città dell'Illustrissimo ed Eccellentissimo Sign. Duca Muti, Sign. sua Consorte, e Figliuola. — in Perugia per il Costantini. 1691 in 8 — Poesia dell'Ab. Michele Brugneres, Romano, fra' Concordi lo Strepitoso. — Musica di Pier Giacomo Bacci, Perugino, Accademico Unissono.",Abigaille,,"<a href=""https://www.wikidata.org/wiki/Q33176667"">Michele Brugueres</a>",poema drammatico,,"<a href=""https://www.wikidata.org/wiki/Q3437"">Perugia</a>",,Costantini,1691,8,True,Pier Giacomo Bacci,False
"ABRAAM, E SARA. Rappresentazione di Abraam, e di Sara sua Moglie, nella quale si contiene la buona vita di Isaac lor Figliuolo, e la mala creanza d'Ismael Figliuolo di Agar sua ancilla, e come furono conciati. in Fiorenza. 1556. in 4— Poesia d'incerto Autore.","Abraam, E Sara",,"<a href=""https://www.wikidata.org/wiki/Q24238356"">unknown</a>",rappresentazione,,"<a href=""https://www.wikidata.org/wiki/Q2044"">Florence</a>",,unknown,1556,4,False,,False
"ABRAM ET ISAC. Rappresentazione. — senza nota di luogo, Stampatore, e anno. in 4 — d'incerto Autore.",Abram Et Isac,,"<a href=""https://www.wikidata.org/wiki/Q24238356"">unknown</a>",rappresentazione,,,,unknown,0,4,False,,False
"ABRAMO CHE SCACCIA DI CASA SUA AGAR ED ISMAELE. Rappresentazione. — in Ferrara, 1602 in 4 — di Fr. Domenico Vecchi.",Abramo Che Scaccia Di Casa Sua Agar Ed Ismaele,,"<a href=""https://www.wikidata.org/wiki/Q17142431"">Domenico Vecchi</a>",rappresentazione,,"<a href=""https://www.wikidata.org/wiki/Q13362"">Ferrara</a>",,unknown,1602,4,False,,False
"ABRAMO. Azione Sacra. — in Ven. per Bonifazio Viezzeri, 1733 in 8 — Poesia di Bastiano Biancardi, Napoletano (detto Domenico Lalli).",Abramo,,Bastiano Biancardi,azione sacra,,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,Bonifazio Viezzeri,1733,8,False,,False
"ABRAMO. Dialogo per Musica. — in Palermo. — Poesia di Giuseppe Gennaro, di Palermo.",Abramo,,Giuseppe Gennaro,dialogo,,"<a href=""https://www.wikidata.org/wiki/Q2656"">Palermo</a>",,unknown,0,,True,,False
"ABRAMO. Poema Drammatico. — in Palermo, appresso Giuseppe Bisagni. 1654 in 4 — Poesia di Giuseppe Gangezia, Siciliano.",Abramo,,Giuseppe Gangezia,poema drammatico,,"<a href=""https://www.wikidata.org/wiki/Q2656"">Palermo</a>",,Giuseppe Bisagni,1654,4,False,,False
"ABRAMO VINCITOR DE' PROPRI AFFETTI. Oratorio. in Bologna, per Bartolommeo recaldini, 1687 in 8— Poesia d'Autore incerto.",Abramo Vincitor De' Propri Affetti,,"<a href=""https://www.wikidata.org/wiki/Q24238356"">unknown</a>",oratorio,,"<a href=""https://www.wikidata.org/wiki/Q1891"">Bologna</a>",,Bartolomeo Recaldini,1687,8,False,,False
"ABRAMO. Rappresentazione di Abramo, quando Dio gli comandò, che facesse il Sacrifizio sul Monte, d'Isaac suo Figliuolo, la quale si rappresentò la prima volta in Firenze nella Chiesa di S. Maria Maddalena, luogo detto Castelli l'anno 1449. Fu poi più volte stampata in Firenze, ed in Venezia, e per ultimo in Macerata pel Salvioni 1629 4 — Poesia di Feo. (Fabio) Belcari, Fiorentino.",Abramo,,"<a href=""https://www.wikidata.org/wiki/Q3068447"">Feo Belcari</a>",rappresentazione,,"<a href=""https://www.wikidata.org/wiki/Q2044"">Florence</a>",Chiesa di Santa Maria Maddalena di Firenze,unknown,1449,,False,,False
"ABSALONE, ovvero, la Superbia punita. Oratorio. — in Mantova nella Stamperia Ducale di Giambatista Grana. 1699 in 8 — Poesia d'incerto Autore.",Absalone,La Superbia Punita,"<a href=""https://www.wikidata.org/wiki/Q24238356"">unknown</a>",oratorio,,"<a href=""https://www.wikidata.org/wiki/Q6247"">Mantua</a>",,Stamperia Ducale,1699,8,False,,False
"ACAMANTE. Tragedia (in prosa) dedicata a Lelia Malaspina Paoletti data di Carpi il di 31. Luglio. Si legge un lungo discorso intor all'Opera sua diretto al Genio d Galantuomini. È di Personaggi trenta. — in Bologna, per Giambattista Ferroni. 1642. in 4. e 12. — di Mario Mazza.",Acamante,,Mario Mazza,tragedia,prose,"<a href=""https://www.wikidata.org/wiki/Q1891"">Bologna</a>",,Giambattista Ferroni,1642,4,False,,False
"ACARNE. Commedia di Aristofane tradotta dal Greco in Lingua comun d'Italia. — in Vinegia, appr. Vincenzo Valgrisi. 1545 in 8 — di Bartolommeo, e Pietro Fratelli Rositini, da Pratalboino.",Acarne,,Bartolomeo e Pietro Rositini,commedia,,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,"<a href=""https://www.wikidata.org/wiki/Q4013565"">Vincenzo Valgrisi</a>",1545,8,False,,True
ACCIDENTI D'AMORE. Commedia (in prosa). in Ven. appresso Angiol Salvadori. 1635. in 12. dal Dot. Fulvio Genga di Fano.,Accidenti D'Amore,,"<a href=""https://www.wikidata.org/wiki/Q102712421"">Fulvio Genga</a>",commedia,prose,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,"<a href=""https://www.wikidata.org/wiki/Q61481881"">Angelo Salvadori</a>",1635,12,False,,False
"ACCIDENTI BOSCARECCI, ovvero, Pastor Incantato. Favola Pastorale (prosa). — in Ven. appresso Olivier Alberti, 1607 in 12. — di Vermiglio Manerba, da' famiglari de le Muse detto l'Accademico Assediato.",Accidenti Boscarecci,Pastor Incantato,"<a href=""https://www.wikidata.org/wiki/Q109503956"">Alessandro Manerba</a>",favola pastorale,prose,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,Olivier Alberti,1607,12,False,,False
"ACCIDENTI DEL VITTORIOSO GOFFREDO. Scenario. — in Venezia 1648. in 12. senza nome di Stampatore. — d'Autore incerto. — Si pretende da alcuni, che con detto solo Scenario sia stata fatta la prima recita nel Teatro detto dei Sant'Apostoli, il quale ora più non sussiste.",Accidenti Del Vittorioso Goffredo,,"<a href=""https://www.wikidata.org/wiki/Q24238356"">unknown</a>",scenario,,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>","<a href=""https://www.wikidata.org/wiki/Q125578099"">Teatro Santi Apostoli</a>",unknown,1648,12,False,,False
"ACCOPPIO ARMONICO DI S. CECILIA CON S. FILIPPO NERI. Dramma Musicale cantato la Sera, in cui ricorse la Festa della medesima Santa, e si aprì il nuovo Oratorio di esso in Perugia l'anno 1689. Dedicato a Monsign. Illustrissimo, e Reverendiss. Luc'Alberto Patrizi, Vescovo di essa Città. — in Perugia per il Costantini. 1689 in 4 — Poesia d'incerto Autore.",Accoppio Armonico Di Santa Cecilia con San Filippo Neri,,"<a href=""https://www.wikidata.org/wiki/Q24238356"">unknown</a>",dramma musicale,,"<a href=""https://www.wikidata.org/wiki/Q3437"">Perugia</a>",,Costantini,1689,4,False,,False
"ACCORDI D'AMORE, E DI FORTUNA. Commedia (in prosa). — in Ven. appr. Gio. Alberti. 1614 in 12. — di Bartolommeo Tacchello, d'Arco.","Accordi D'Amore, E Di Fortuna",,Bartolommeo Tacchello,commedia,prose,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,"<a href=""https://www.wikidata.org/wiki/Q112382065"">Giovanni Alberti</a>",1614,12,False,,False
"A CHI BEN OPERA ANCHE IL SEPOLCRO È FORTUNA. Opera scenica (in prosa). — in Parma, e in Piacenza, per Alberto Pazzoni, e Paolo Monti. 1694. in 8, ed in Bologna nella Stamperia del Longhi. 1695 in 12. — del Dott. Giorgio Ippolito Giorgi.",A Chi Ben Opera Anche Il Sepolcro È Fortuna,,Giorgio Ippolito Giorgi,opera scenica,prose,"<a href=""https://www.wikidata.org/wiki/Q2683"">Parma</a>",,"<a href=""https://www.wikidata.org/wiki/Q98645100"">Giuseppe Longhi</a>",1695,8,False,,False
"ACHILLE PLACATO. Tragedia rappresentata nel Teatro di San Cassiano di Venezia l'anno 1707 — in Venezia, appresso Marino Rossetti. 1707 in 12. — Poesia di Urbano Rizzi, di Trivigi. — Musica di Antonio Lotti, Veneziano.",Achille Placato,,Urbano Rizzi,tragedia,,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>","<a href=""https://www.wikidata.org/wiki/Q246429"">Teatro San Cassiano</a>","<a href=""https://www.wikidata.org/wiki/Q122599209"">Marino Rossetti</a>",1707,12,True,"<a href=""https://www.wikidata.org/wiki/Q168345"">Antonio Lotti</a>",False
