city-name,counts,Latitude,Longitude
Teatro San Angelo,164,44.417466,12.2010438
Teatro Malibran,117,45.4389676,12.3381178
Teatro San Cassiano,113,44.1485167,11.6900561
Teatro San Moisè,104,45.4325875,12.3345963
Teatro Santi Giovanni e Paolo,90,,
Teatro Goldoni,68,43.5459241,10.313889
Teatro Guastavillani/Formagliari,52,,
Teatro San Samuele,44,,
Teatro San Fantino di Venezia,28,,
Teatro Sant 'Apollinare,16,45.0419293,11.8213939
Teatro Marsigli-Rossi,14,,
Teatro Comunale,13,44.4964896,11.35059
Teatro Malvezzi di Bologna,12,,
Teatro Santo Stefano/Bonacossi,11,,
Teatro ai Saloni,9,,
Villa Contarini,8,45.5440167,11.7850175
Teatro Niccolini,7,43.7738015,11.2561012
Teatro Obizzi di Padova,7,,
Teatro Santa Margherita di Treviso,7,,
Teatro Ducale Milano,7,,
Teatro Santi Apostoli,6,45.6203239,8.8621067
Teatro Campagnella di Rovigo,6,,
Teatro del Falcone,6,42.8154546,10.3296583
Teatro Manfredini di Rovigo,6,,
Teatro Ducale di Mantova,6,,
Teatro della Cavallerizza,6,,
Teatro Regio,6,45.0705924,7.6879559
Teatro Dolfin di Treviso,5,45.6669226,12.2471088
Teatro del Canal Regio,5,,
Teatro Nuovo di Piazza di Vicenza,5,,
Teatro delle Grazie,5,46.0671442,13.2398854
Teatro Ducale di Piacenza,4,,
Teatro Regio Ducal,4,,
Teatro Onigo,3,,
Teatro San Bartolomeo,3,45.8115179,9.0848764
Teatro Nuovo di Piacenza,3,,
Teatro del Dolo,3,,
Teatro della Pace di Roma,3,,
Teatro del Gran Duca di Toscana,3,,
Teatro Boegan di Chioggia,2,,
Teatro Malvezzi,2,,
Sala Estense,2,44.8362562,11.6189913
Teatro della Pergola,2,43.7730936,11.2614951
Teatro Borghi,2,44.6923541,10.6498446
Teatro Mantica di Udine,2,,
Teatro Santa Margherita di Venezia,2,,
Teatro Filarmonico,2,45.4384372,10.9903141
Olympic Theatre,2,34.0443119,-118.2549796
Teatro San Lorenzo,2,45.5693882,8.9621156
Teatro dell'Accademia di Brescia,2,,
Chiesa di Santa Maria Maddalena di Firenze,1,43.7741576,11.264565
Teatro di Karlsruhe,1,,
Teatro Unione dei Recitanti,1,,
Teatro di Spoleto,1,42.7360283,12.7354929
Teatro dell'Accademia dei Cavalieri Infiammati,1,,
Teatro Nuovo di Fiesso sul Brenta,1,,
Teatro Giardino del Principe Altieri,1,,
Teatro della Marina di Palermo,1,,
Teatro di Verona,1,45.4384372,10.9903141
Teatro di Fiera di Bergamo,1,,
Teatro degli Accademici Illuminati,1,,
Teatro San Sebastiano di Livorno,1,,
Palazzo Colloredo,1,45.1589036,10.7933972
Teatro delle Dame,1,,
Teatro di Livorno,1,43.1531416,10.5412127
Teatro di Torre di Nona,1,,
Teatro di Pisa,1,43.7169705,10.4044717
Teatro Angelelli di Bologna,1,,
Teatro della Villa di Camigliano,1,,
Teatro Ariberti,1,,
Teatro Santa Lucia della Tinta,1,,
Teatro di Casale di Milano,1,45.1378443,8.448348
Teatro Nuovo di Modena,1,44.888194,11.0652286
Teatro del Cortile,1,,
Teatro del Seminario Romano,1,,
Teatro Mediceo,1,,
Teatro alla Valle di Roma,1,,
Teatro del Mascherone di Farnese,1,,
Teatro di Ferrara,1,44.8374354,11.6206626
Teatro Fedele,1,45.4663875,9.1919105
Nobile Teatro di San Giacomo di Corfù,1,,
Teatro del Contestabile Colonna,1,,
Teatro domestico Martinengo,1,,
Teatro Nuovo della Pallacorda di Firenze,1,,
Teatro della Fenice,1,,
Teatro di Murano,1,45.4337096,12.3338572
Teatro alle Zattere,1,,
Teatro di Este,1,45.2297935,11.6526101
Leonessa,1,42.56315,12.9638499
Teatro di Pavia,1,45.1886911,9.1563545
Teatro di Parma,1,44.8032338,10.3268079
Teatro di Corte di Ansbach,1,,
Ville della Riccardina,1,,
Teatro di Reggio Emilia,1,44.7011061,10.6313825
"Bologna, Casa del Senatore Volta",1,,
Teatro Domestico della Regina Maria Casimira,1,,
Teatro Secco Soardo di Bergamo,1,,
Teatro di Monselice,1,45.2418848,11.7497861
Teatro dell'Elettore di Baviera,1,,
Teatro di Casale Monferrato,1,45.1378443,8.448348
Teatro Accademici Stabili di Todi,1,,
Teatro Pubblico di Forlì,1,,
Theatre Royal Haymarket,1,51.5086582,-0.1312184
Teatro dell'Accademia di Bologna,1,,
Teatro del Ducale Collegio de' Nobili,1,,
Teatro Pasqualini,1,,
Teatro Malvezzi di Ferrara,1,,
Teatro Apostolico,1,,
Teatro del Principe di Carignano,1,,
Teatro Ducale di Modena,1,,
Teatro di Udine,1,45.824279,13.2797043
Teatro di Corte di Parma,1,,
