_ - ,_ - voce/entry,_ - titolo/title,_ - sottitolo/subtitle,_ - autore/author,ids_authors,_ - genere/genre,_ - metro/mode,_ - luogo di pubblicazione/city,ids_city,_ - luogo di rappresentazione/location,ids_location,_ - editore/publisher,ids_publisher,_ - anno/year,_ - formato/format,_ - libretto,_ - compositore/composer,ids_composer,_ - traduzione/translation
0,"ABBAGLI FELICI. Commedia (in prosa). — In Macerata, per Agostino Grisei. 1642 in 12. — del Co. Prospero Bonarelli della Rovere, d'Ancona.",Abbagli Felici,,Prospero Bonarelli,Q3407825,Commedia,prose,Macerata,Q13135,,,Agostino Grisei I,Q118733443,1642,12,False,,,False
1,"ABBANDONO D'ARMIDA. Trattenimento scenico cantato nel Teatro Grimani di San Gian—Grisostomo di Ven. nell'ultima sera del Carnevale dell'anno 1729. dedicato alle Eccellentissime Dame Veneziane. — in Venezia, appresso Carlo Buonarrigo. 1729 in 12. — Poesia di Giovanni Boldini, Veneziano. — Musica di diversi.",Abbandono d'Armida,,Giovanni Boldini,,Trattenimento scenico,verse,Venice,Q641,Teatro Malibran,Q3982047,Carlo Buonarrigo,,1729,12,True,N/A,,False
2,"ABBATE. Commedia (in prosa). — in Venez. appresso Agostino Bindoni. 1556 in 8 — di Bartolommeo Cappello, di Olcenengo.",Abbate,,Bartolommeo Cappello,,Commedia,prose,Venice,Q641,,,Agostino Bindoni,Q109836239,1556,8,False,,,False
3,ABBISAI. Op. (in prosa). — in Milano per il Malatesta. 1718 in 12. — di Carlo Giuseppe Cornacchia.,Abbisai,,Carlo Giuseppe Cornacchia,,Opera,prose,Milan,Q490,,,Malatesta,,1718,12,False,,,False
4,"ABDOLOMINO. Dramma rappresentato alle Sac. Ces. R. M. nel Carnevale dell'anno 1709 — in Vienna, appr. gli Eredi Cosmeroviani. 1709. in 8 — Poesia di Silvio Stampiglia, Romano. — Musica di Giovanni Bononcini, Bolognese.",Abdolomino,,Silvio Stampiglia,Q1375676,Dramma,,Vienna,Q1741,,,Eredi Cosmeroviani,,1709,8,True,Giovanni Bononcini,Q315241,False
5,"ABEL. Orazione Sacra per Musica (divisa in due parti in forma d'Oratorio). — in Venezia (senza nome di Stampatore). 1738 in 8 — Poesia di Bastiano Biancardi Napoletano, detto Domenico Lalli.",Abel,,Bastiano Biancardi,,Orazione Sacra,,Venice,Q641,,,unknown,,1738,8,True,,,False
6,"ABEL, E CAINO. Rappresentazione di Abel, e di Caino (in ottava rima) nuovamente venuta in luce, in Firenze l'anno 1554. del Mese di Febbraio. in 4. — Poesia d'Incerto Autore.","Abel, E Caino",,unknown,Q24238356,Rappresentazione,verse,Florence,Q2044,,,unknown,,1554,4,False,,,False
7,"ABELE UCCISO DA CAINO. Oratorio. — in Mantova, per gli Osanna, 1687. in 8 — Poesia d'Autore incerto.",Abele Ucciso Da Caino,,unknown,Q24238356,Oratorio,,Mantua,Q6247,,,Osanna,,1687,8,False,,,False
8,"ABIGAILLE. Poema drammatico fatto rappresentare in Città della Pieve per la venuta in detta Città dell'Illustrissimo ed Eccellentissimo Sign. Duca Muti, Sign. sua Consorte, e Figliuola. — in Perugia per il Costantini. 1691 in 8 — Poesia dell'Ab. Michele Brugneres, Romano, fra' Concordi lo Strepitoso. — Musica di Pier Giacomo Bacci, Perugino, Accademico Unissono.",Abigaille,,Michele Brugueres,Q33176667,Poema drammatico,,Perugia,Q3437,,,Costantini,,1691,8,True,Pier Giacomo Bacci,,False
9,"ABRAAM, E SARA. Rappresentazione di Abraam, e di Sara sua Moglie, nella quale si contiene la buona vita di Isaac lor Figliuolo, e la mala creanza d'Ismael Figliuolo di Agar sua ancilla, e come furono conciati. in Fiorenza. 1556. in 4— Poesia d'incerto Autore.","Abraam, E Sara",,unknown,Q24238356,Rappresentazione,,Florence,Q2044,,,unknown,,1556,4,False,,,False
